Registered coin types
These are the registered coin types for usage in level 2 of BIP44 described in chapter "Coin type".

All these constants are used as hardened derivation.

index	hexa	symbol	coin
889	0x80000379	TOMO	TOMO
890	0x8000037a	XSEL	Seln
891	0x8000037b		
892	0x8000037c		
893	0x8000037d		
894	0x8000037e		
895	0x8000037f		
896	0x80000380		
897	0x80000381		
898	0x80000382		
899	0x80000383		
900	0x80000384	LMO	Lumeneo
901	0x80000385		
902	0x80000386		
903	0x80000387		
904	0x80000388		Helium
905	0x80000389		
906	0x8000038a		
907	0x8000038b		
908	0x8000038c		
909	0x8000038d		
910	0x8000038e		
911	0x8000038f		
912	0x80000390		
913	0x80000391		
914	0x80000392		
915	0x80000393		
916	0x80000394	META	Metadium
917	0x80000395		
918	0x80000396		
919	0x80000397		
920	0x80000398		
921	0x80000399		
922	0x8000039a		
923	0x8000039b		
924	0x8000039c		
925	0x8000039d		
926	0x8000039e		
927	0x8000039f		
928	0x800003a0		
929	0x800003a1		
930	0x800003a2		
931	0x800003a3	RUNE	THORChain (RUNE)
932	0x800003a4		
933	0x800003a5		
934	0x800003a6		
935	0x800003a7		
936	0x800003a8		
937	0x800003a9		
938	0x800003aa		
939	0x800003ab		
940	0x800003ac		
941	0x800003ad		
942	0x800003ae		
943	0x800003af		
944	0x800003b0		
945	0x800003b1		
946	0x800003b2		
947	0x800003b3		
948	0x800003b4		
949	0x800003b5		
950	0x800003b6		
951	0x800003b7		
952	0x800003b8		
953	0x800003b9		
954	0x800003ba		
955	0x800003bb		
956	0x800003bc		
957	0x800003bd		
958	0x800003be		
959	0x800003bf		
960	0x800003c0		
961	0x800003c1		
962	0x800003c2		
963	0x800003c3		
964	0x800003c4		
965	0x800003c5		
966	0x800003c6		
967	0x800003c7		
968	0x800003c8		
969	0x800003c9		
970	0x800003ca	TWINS	TWINS
971	0x800003cb		
972	0x800003cc		
973	0x800003cd		
974	0x800003ce		
975	0x800003cf		
976	0x800003d0		
977	0x800003d1		
978	0x800003d2		
979	0x800003d3		
980	0x800003d4		
981	0x800003d5		
982	0x800003d6		
983	0x800003d7		
984	0x800003d8		
985	0x800003d9		
986	0x800003da		
987	0x800003db		
988	0x800003dc		
989	0x800003dd		
990	0x800003de		
991	0x800003df		
992	0x800003e0		
993	0x800003e1		
994	0x800003e2		
995	0x800003e3		
996	0x800003e4	OKT	OKChain Token
997	0x800003e5	SUM	Solidum
998	0x800003e6	LBTC	Lightning Bitcoin
999	0x800003e7	BCD	Bitcoin Diamond
1000	0x800003e8	BTN	Bitcoin New
1001	0x800003e9	TT	ThunderCore
1002	0x800003ea	BKT	BanKitt
1023	0x800003ff	ONE	HARMONY-ONE
1024	0x80000400	ONT	Ontology
1026	0x80000402	KEX	Kira Exchange Token
1027	0x80000403	MCM	Mochimo
1032	0x80000408	BTCR	BTCR
1111	0x80000457	BBC	Big Bitcoin
1120	0x80000460	RISE	RISE
1122	0x80000462	CMT	CyberMiles Token
1128	0x80000468	ETSC	Ethereum Social
1137	0x80000471	$DAG	Constellation Labs
1145	0x80000479	CDY	Bitcoin Candy
1337	0x80000539	DFC	Defcoin
1397	0x80000575	HYC	Hycon
1524	0x800005f4		Taler
1533	0x800005fd	BEAM	Beam
1616	0x80000650	ELF	AELF
1620	0x80000654	ATH	Atheios
1642	0x8000066a	NEW	Newton
1688	0x80000698	BCX	BitcoinX
1729	0x800006c1	XTZ	Tezos
1776	0x800006f0	LBTC	Liquid BTC
1815	0x80000717	ADA	Cardano
1856	0x80000743	TES	Teslacoin
1901	0x8000076d	CLC	Classica
1919	0x8000077f	VIPS	VIPSTARCOIN
1926	0x80000786	CITY	City Coin
1977	0x800007b9	XMX	Xuma
1984	0x800007c0	TRTL	TurtleCoin
1987	0x800007c3	EGEM	EtherGem
1989	0x800007c5	HODL	HOdlcoin
1990	0x800007c6	PHL	Placeholders
1997	0x800007cd	POLIS  	Polis
1998	0x800007ce	XMCC  	Monoeci
1999	0x800007cf	COLX  	ColossusXT
2000	0x800007d0	GIN  	GinCoin
2001	0x800007d1	MNP  	MNPCoin
2017	0x800007e1	KIN	Kin
2018	0x800007e2	EOSC	EOSClassic
2019	0x800007e3	GBT	GoldBean Token
2020	0x800007e4	PKC	PKC
2048	0x80000800	MCASH	MCashChain
2049	0x80000801	TRUE	TrueChain
2112	0x80000840	IoTE	IoTE
2221	0x800008ad	ASK	ASK
2301	0x800008fd	QTUM	QTUM
2302	0x800008fe	ETP	Metaverse
2303	0x800008ff	GXC	GXChain
2304	0x80000900	CRP	CranePay
2305	0x80000901	ELA	Elastos
2338	0x80000922	SNOW	Snowblossom
2570	0x80000a0a	AOA	Aurora
2894	0x80000b4e	REOSC	REOSC Ecosystem
3003	0x80000bbb	LUX	LUX
3030	0x80000bd6	XHB	Hedera HBAR
3077	0x80000c05	COS	Contentos
3381	0x80000d35	DYN	Dynamic
3383	0x80000d37	SEQ	Sequence
3552	0x80000de0	DEO	Destocoin
3564	0x80000dec	DST	DeStream
2718	0x80000a9e	NAS	Nebulas
2941	0x80000b7d	BND	Blocknode
3276	0x80000ccc	CCC	CodeChain
3377	0x80000d31	ROI	ROIcoin
4040	0x80000fc8	FC8	FCH Network
4096	0x80001000	YEE	YeeCo
4218	0x8000107a	IOTA	IOTA
4242	0x80001092	AXE	Axe
4343	0x800010f7	XYM	Symbol
5248	0x80001480	FIC	FIC
5353	0x800014e9	HNS	Handshake
5555	0x800015b3	FUND	Unification
5757	0x8000167d	STX	Blockstack
5920	0x80001720	SLU	SILUBIUM
6060	0x800017ac	GO	GoChain GO
6666	0x80001a0a	BPA	Bitcoin Pizza
6688	0x80001a20	SAFE	SAFE
6969	0x80001b39	ROGER	TheHolyrogerCoin
7777	0x80001e61	BTV	Bitvote
8000	0x80001f40	SKY	Skycoin
8339	0x80002093	BTQ  	BitcoinQuark
8888	0x800022b8	SBTC	Super Bitcoin
8964	0x80002304	NULS	NULS
8999	0x80002327	BTP	Bitcoin Pay
9797	0x80002645	NRG	Energi
9888	0x800026a0	BTF	Bitcoin Faith
9999	0x8000270f	GOD	Bitcoin God
10000	0x80002710	FO	FIBOS
10291	0x80002833	BTR	Bitcoin Rhodium
11111	0x80002b67	ESS	Essentia One
12345	0x80003039	IPOS	IPOS
13107	0x80003333	BTY	BitYuan
13108	0x80003334	YCC	Yuan Chain Coin
15845	0x80003de5	SDGO	SanDeGo
16181	0x80003f35	XTX	Totem Live Network
16754	0x80004172	ARDR	Ardor
19165	0x80004add	SAFE	Safecoin
19167	0x80004adf	ZEL	ZelCash
19169	0x80004ae1	RITO	Ritocoin
20036	0x80004e44	XND	ndau
22504	0x800057e8	PWR	PWRcoin
25252	0x800062a4	BELL	Bellcoin
25718	0x80006476	CHX	Own
31102	0x8000797e	ESN	EtherSocial Network
31337	0x80007a69		ThePower.io
33416	0x80008288	TEO	Trust Eth reOrigin
33878	0x80008456	BTCS	Bitcoin Stake
34952	0x80008888	BTT	ByteTrade
37992	0x80009468	FXTC	FixedTradeCoin
39321	0x80009999	AMA	Amabig
49262	0x8000c06e	EVE	evan.network
49344	0x8000c0c0	STASH	STASH
52752	0x8000ce10	CELO	Celo
65536	0x80010000	KETH	Krypton World
88888	0x80015b38	RYO	c0ban
99999	0x8001869f	WICC	Waykichain
200625	0x80030fb1	AKA	Akroma
200665	0x80011000	GENOM	GENOM
246529	0x8003c301	ATS	ARTIS sigma1
424242	0x80067932	X42	x42
666666	0x800a2c2a	VITE	Vite
1171337	0x8011df89	ILT	iOlite
1313114	0x8014095a	ETHO	Ether-1
1313500	0x80140adc	XERO	Xerom
1712144	0x801a2010	LAX	LAPO
4741444	0x80485944	HYD	Hydra Token
5249353	0x80501949	BCO	BitcoinOre
5249354	0x8050194a	BHD  	BitcoinHD
5264462	0x8050544e	PTN  	PalletOne
5718350	0x8057414e	WAN  	Wanchain
5741564	0x80579bfc	WAVES  	Waves
7562605	0x8073656d	SEM	Semux
7567736	0x80737978	ION	ION
7825266	0x80776772	WGR	WGR
7825267	0x80776773	OBSR	OBServer
61717561	0x83adbc39	AQUA  	Aquachain
88888888	0x854c5638	HATCH  	Hatch
91927009	0x857ab1e1	kUSD  	kUSD
99999998	0x85f5e0fe	FLUID  	Fluid Chains
99999999	0x85f5e0ff	QKC  	QuarkChain


0: Olympic, Ethereum public pre-release PoW testnet
1: Frontier, Homestead, Metropolis, the Ethereum public PoW main network
1: Classic, the (un)forked public Ethereum Classic PoW main network, chain ID 61
1: Expanse, an alternative Ethereum implementation, chain ID 2
2: Morden Classic, the public Ethereum Classic PoW testnet
3: Ropsten, the public cross-client Ethereum PoW testnet
4: Rinkeby, the public Geth-only PoA testnet
5: Goerli, the public cross-client PoA testnet
6: Kotti Classic, the public cross-client PoA testnet for Classic
7: Mordor Classic, the public cross-client PoW testnet for Classic
8: Ubiq, the public Gubiq main network with flux difficulty chain ID 8
10: Quorum, the JP Morgan network
42: Kovan, the public Parity-only PoA testnet
60: GoChain, the GoChain networks mainnet
77: Sokol, the public POA Network testnet
99: Core, the public POA Network main network
100: xDai, the public MakerDAO/POA Network main network
31337: GoChain testnet, the GoChain networks public testnet
401697: Tobalaba, the public Energy Web Foundation testnet
7762959: Musicoin, the music blockchain
61717561: Aquachain, ASIC resistant chain
[Other]: Could indicate that your connected to a local development test network.

wan2eth: {
  name:'WAN@ethereum', 
  symbol: 'WAN',
  decimals: 18,
  address: '0x12a139B8E453E761eC21BB58E22Be9a5D3Ef54dC'
}

btc2eth: {
  name:'wanBTC@ethereum', 
  symbol: 'wanBTC',
  decimals: 8,
  address: '0xE2A1dc77aAD2BB6b493c491572e822381f2a6E5d'
}

eos2eth: {
  name: 'wanEOS@ethereum',
  symbol: 'wanEOS',
  decimals: 4,
  address: '0x5529688926D5B4359E78F6D223C4BC63a249De2a'
}
